,Sample_Name
sample_R1,YG010
sample_R10,YG067
sample_R11,YG079
sample_R12,YG086
sample_R13,YG090
sample_R14,YG097
sample_R15,YG098
sample_R16,YG106
sample_R17,YG120
sample_R18,YG138
sample_R19,YG142
sample_R2,YG019
sample_R20,YG143
sample_R21,YG150
sample_R22,YG157
sample_R23,YG159
sample_R24,YG170
sample_R25,YG174
sample_R26,YG180
sample_R27,YG184
sample_R28,YG186
sample_R29,YG188
sample_R3,YG022
sample_R30,YG196
sample_R31,YG229
sample_R32,YG234
sample_R33,YG257
sample_R34,YG270
sample_R35,YG272
sample_R36,YG276
sample_R37,YG282
sample_R38,YG303
sample_R39,YG321
sample_R4,YG024
sample_R40,YG328
sample_R41,YG331
sample_R42,YG335
sample_R43,YG336
sample_R44,YG340
sample_R45,YG345
sample_R46,YG347
sample_R47,YG351
sample_R48,YG353
sample_R49,YG367
sample_R5,YG040
sample_R50,YG369
sample_R51,YG373
sample_R52,YG376
sample_R53,YG383
sample_R54,YG385
sample_R55,YG386
sample_R56,YG387
sample_R57,YG388
sample_R58,YG389
sample_R59,YG393
sample_R6,YG047
sample_R60,YG396
sample_R61,YG397
sample_R62,YG400
sample_R63,YG402
sample_R64,YG420
sample_R65,YG427
sample_R66,YG428
sample_R67,YG432
sample_R68,YG433
sample_R69,YG434
sample_R7,YG050
sample_R70,YG435
sample_R71,YG448
sample_R72,YG452
sample_R73,YG455
sample_R74,YG459
sample_R75,YG465
sample_R76,YG464
sample_R77,YG466
sample_R78,YG471
sample_R79,YG472
sample_R8,YG059
sample_R80,YG473
sample_R81,YG476
sample_R82,YG477
sample_R83,YG478
sample_R84,YG483
sample_R85,YG484
sample_R86,YG485
sample_R87,YG486
sample_R88,YG487
sample_R89,YG491
sample_R9,YG066
sample_R90,YG492
sample_R91,YG497
sample_R92,YG498
