Sample,percent_gc,Salmon_percent_mapped,Salmon-num_mapped,Hisat_mapped_passed,Hisat_mapped_passed_pct
sample_R1,49,78.79887862,62644092,165462273,97.22
sample_R10,47.5,68.43760237,63993066,192609075,96.81
sample_R12,47,63.53386995,43400505,138252774,96.57
sample_R13,48,72.1530058,52154197,149275263,96.89
sample_R14,48,74.98220189,56342683,154673028,96.86
sample_R15,48,72.39238603,49814008,141294482,96.63
sample_R16,47.5,62.80243911,46699640,152071509,96.33
sample_R17,47.5,64.65928081,38155139,120011289,96.7
sample_R18,50,67.88045499,37029989,117392520,95.62
sample_R19,49,66.75734597,36087871,117444510,96.73
sample_R2,48.5,77.04040439,55749519,148565485,96.75
sample_R20,49,73.27445641,47564760,141389771,96.97
sample_R21,49,73.81995096,50403122,145760085,95.95
sample_R22,49,62.08615329,39534593,133301224,96.38
sample_R23,50,74.2885598,40490851,118310079,96.45
sample_R24,49,74.07198979,55219881,159182915,96.59
sample_R25,49,73.20025039,42132117,122139097,96.64
sample_R26,47,59.73735281,36834857,129300347,96.51
sample_R27,49,58.7091323,32216334,118660517,95.23
sample_R28,49,64.53217455,34044443,112577347,96.86
sample_R29,49,65.06919945,44673607,152208027,96.97
sample_R3,48,78.2304193,57104408,149261804,97.02
sample_R30,48,57.5750708,37153549,137958888,96.49
sample_R31,49,80.57616938,55467880,145170771,97.39
sample_R32,48,59.00581127,35807568,130469985,96.82
sample_R34,48.5,42.36379747,25754245,133475228,96.7
sample_R35,48,56.75405361,30467929,115682191,96.35
sample_R36,49,78.31797696,47987980,132010524,97.21
sample_R37,49,78.81394796,48644466,131084454,97.22
sample_R38,49,66.63899015,48930117,159377502,97.15
sample_R39,46,54.20662236,42501646,162626323,96.83
sample_R4,48,69.51411136,49499883,146888957,96.62
sample_R40,51,75.54854735,50247326,148058666,96.74
sample_R41,49,77.77406834,48935884,134601072,97.48
sample_R43,48,68.28044928,47792006,145735913,96.27
sample_R44,50,72.06035491,41320572,125544103,96.89
sample_R45,49,73.04239074,47535676,137189208,96.73
sample_R46,49,80.48443598,55710166,144564691,96.84
sample_R47,48,63.96034177,35546762,119450921,96.45
sample_R48,49.5,80.2139244,52115630,141031116,96.71
sample_R49,49.5,77.56867732,48018076,136206164,97.03
sample_R50,51,81.30561402,49234965,131509587,96.65
sample_R51,49.5,81.27669886,49468263,129216794,97.25
sample_R52,49.5,81.66730434,54713846,143984485,97.43
sample_R53,48.5,65.92328947,44186601,142911944,96.5
sample_R54,47,70.67314566,42479249,123244165,97.04
sample_R55,50,81.04598185,43901092,112712039,97.01
sample_R56,50,82.50129892,52881129,133151303,97.08
sample_R57,48,56.70795531,38634919,139891102,96.23
sample_R58,49,74.17235131,45886200,128644006,96.86
sample_R59,49,71.59857006,48280148,140756187,96.8
sample_R6,48,70.26053364,50597961,149350945,97.01
sample_R60,49.5,73.48542991,50551706,146418684,96.99
sample_R61,49.5,75.09060051,48006328,134125743,96.56
sample_R62,50,83.12061419,59636961,150510963,97.16
sample_R63,49.50,74.79119122,48989216,136523729,96.97
sample_R64,49.00,62.51531525,41187911,139590639,96.62
sample_R67,51.00,73.11655755,38184081,113541888,96.6
sample_R68,49.50,64.53664535,32421856,107388289,96.57
sample_R69,49.00,58.08501289,32548203,118043392,95.72
sample_R7,48.50,79.45244435,62949397,164892289,97.15
sample_R70,50.00,77.1160844,48137750,131451276,96.93
sample_R71,49.50,75.73206033,44107419,123273586,96.63
sample_R72,50.00,77.90847691,44593709,120128501,96.84
sample_R74,49.00,60.69885353,32860179,112060899,96
sample_R75,51.00,78.46085661,41016075,109764074,96.55
sample_R76,49.50,75.55557501,39537396,108028627,96.68
sample_R77,50.00,81.01575254,42635435,109503495,97.04
sample_R78,48.00,55.68931235,29338762,108143415,96.45
sample_R79,50.50,80.40550153,42946488,113546622,97.1
sample_R80,49.00,74.41125102,38993617,108037230,96.88
sample_R81,49.00,65.99259626,34435204,107394699,96.18
sample_R82,50.00,79.60875755,41537955,110405760,96.62
sample_R83,50.00,81.40393841,44489946,113958827,97.01
sample_R84,49.00,62.55433274,32850882,109579276,96.19
sample_R85,49.50,76.4513114,38430455,103805567,96.69
sample_R86,51.50,84.80119196,44440191,117354065,97.22
sample_R87,48.50,65.08004181,33765564,107044728,96.5
sample_R88,53.00,75.53223939,40773605,121716997,96.14
sample_R89,49.50,68.47003269,37431129,118049481,96.89
sample_R9,48.00,73.75688425,63208407,175694423,96.99
sample_R90,50.00,76.81691253,40306838,109660841,96.57
sample_R91,51.00,80.70790243,41839385,111628735,97
sample_R92,50.50,76.18301511,42727017,119254690,96.46
